GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US04011,Greenlee County, Arizona,23986,24020,21063,23451,25625,24135,22111,23942,25357,22772,23807
0500000US04012,La Paz County, Arizona,15773,17399,17394,19032,18664,18281,17857,15934,17107,17626,23016
0500000US04013,Maricopa County, Arizona,27243,27705,28010,27791,27855,27893,28346,29625,30482,31169,19873
0500000US04015,Mohave County, Arizona,18969,19479,18742,19070,20153,20430,20772,22094,24027,24468,32385
0500000US04017,Navajo County, Arizona,19505,20270,19431,18974,18220,18559,19343,20084,20724,21786,26017
0500000US04019,Pima County, Arizona,21843,22650,22587,22446,22360,22293,22481,23500,24640,25522,23945
0500000US04021,Pinal County, Arizona,25191,25807,25217,25421,24620,24627,24389,25024,25770,27105,26537
0500000US04023,Santa Cruz County, Arizona,17790,17731,17405,18382,19057,19230,19364,18911,20529,21713,28695
0500000US04025,Yavapai County, Arizona,20794,20956,20749,20296,20586,20596,20882,21343,22287,23148,24447
0500000US04027,Yuma County, Arizona,16449,17527,17115,17000,16756,16630,16798,18226,19597,20898,25531
0500000US05001,Arkansas County, Arkansas,19248,18792,19033,19307,20453,20142,21383,22439,23242,25304,21717
0500000US05003,Ashley County, Arkansas,17445,17246,18388,17940,18480,18514,20070,19578,20909,23037,26160
0500000US05005,Baxter County, Arkansas,18163,18815,19052,20076,21383,21228,21669,22110,23384,23496,24147
0500000US05007,Benton County, Arkansas,23538,25226,25945,26581,26991,27257,27399,29013,30429,30631,24539
0500000US05009,Boone County, Arkansas,18575,19498,19867,19251,19714,20018,19806,21100,21545,21858,31916
0500000US05011,Bradley County, Arkansas,16893,18216,19276,16577,18267,18376,18496,18958,19551,23255,23786
0500000US05013,Calhoun County, Arkansas,18951,18422,20125,21475,20310,20799,21250,20962,24976,26386,25547
0500000US05015,Carroll County, Arkansas,18989,19032,20246,20046,19568,18636,18289,19313,20811,22913,27769
0500000US05017,Chicot County, Arkansas,14360,14435,16778,18648,19160,18929,18828,20040,22313,23606,25902
