GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US04001,Apache County, Arizona,22541,22623,23787,23647,24114,25411,27274,28475,30054,31503,23125
0500000US04003,Cochise County, Arizona,26039,25538,24869,24831,24362,23980,24149,25356,25997,27028,31486
0500000US04005,Coconino County, Arizona,22473,22374,22161,22378,21907,22354,23255,24197,25094,25570,30238
0500000US04007,Gila County, Arizona,25714,25925,25871,25270,24079,23795,24190,25731,26437,27703,25701
0500000US04009,Graham County, Arizona,21863,25281,26722,27125,27846,26761,26934,26326,26518,26155,29827
0500000US04011,Greenlee County, Arizona,35068,34993,35237,35625,35837,36300,36779,38013,38004,39740,27142
0500000US04012,La Paz County, Arizona,21633,24184,24648,24350,23416,20949,20453,20151,21651,22904,45351
0500000US04013,Maricopa County, Arizona,31766,32020,31816,31651,31798,31575,31884,32758,34081,35553,26920
0500000US04015,Mohave County, Arizona,22472,23131,22238,22259,22227,22270,22929,24876,26184,26709,36982
0500000US04017,Navajo County, Arizona,22524,23773,23871,22903,23286,22871,23300,24477,25555,25719,28812
0500000US04019,Pima County, Arizona,26057,26511,26390,26132,26182,25916,25992,26888,27919,29270,27269
0500000US04021,Pinal County, Arizona,31035,31280,30960,30836,30622,30235,29550,29764,30564,31660,30562
0500000US04023,Santa Cruz County, Arizona,20592,20646,21201,22010,23208,24179,25036,24844,25454,26330,33606
0500000US04025,Yavapai County, Arizona,24592,24620,24006,22997,23275,23177,24158,25274,26571,27221,26741
0500000US04027,Yuma County, Arizona,21833,22382,21796,22198,22083,22138,22349,23866,25341,26452,28362
0500000US05001,Arkansas County, Arkansas,22734,23264,23590,24381,25246,24680,25692,26807,27437,30221,27476
0500000US05003,Ashley County, Arkansas,23673,24561,25215,25769,25784,25193,27131,27399,27617,30402,32033
0500000US05005,Baxter County, Arkansas,20617,21073,21246,21753,23142,22870,24020,25148,26682,27181,32066
0500000US05007,Benton County, Arkansas,28561,30326,30636,31247,32159,32195,32491,34781,36073,36750,27954
0500000US05009,Boone County, Arkansas,23244,23486,22830,22485,23529,23821,24271,25119,26033,26943,37969
0500000US05011,Bradley County, Arkansas,22051,24308,25347,23720,26932,26869,26715,27836,30399,33536,28665
0500000US05013,Calhoun County, Arkansas,23805,22019,23473,23369,23645,23722,24592,26713,30765,30511,37134
0500000US05015,Carroll County, Arkansas,21169,22269,22724,22663,22368,22324,22099,23222,25260,26773,29554
0500000US05017,Chicot County, Arkansas,19059,19879,20696,21382,23589,22407,22315,25661,27019,27220,27795
