state,county,House Price 2012,House Price 2013,House Price 2014,House Price 2015,House Price 2016,House Price 2017,House Price 2018,House Price 2019,House Price 2020,House Price 2021,House Price 2022,House Price 2023,House Price 2024,House Price 2025,Gender_2012,Gender_2013,Gender_2014,Gender_2015,Gender_2016,Gender_2017,Gender_2018,Gender_2019,Gender_2020,Gender_2021,Gender_2022,Gender_2023,Gender_2024,Gender_2025,Gender,2012_Ratio,2013_Ratio,2014_Ratio,2015_Ratio,2016_Ratio,2017_Ratio,2018_Ratio,2019_Ratio,2020_Ratio,2021_Ratio,2022_Ratio,2023_Ratio,2024_Ratio,2025_Ratio,Gender_2012_diff,Gender_2013_diff,Gender_2014_diff,Gender_2015_diff,Gender_2016_diff,Gender_2017_diff,Gender_2018_diff,Gender_2019_diff,Gender_2020_diff,Gender_2021_diff,Gender_2022_diff,Gender_2023_diff,Gender_2024_diff,Gender_2025_diff
MI,Saginaw County,90928,113505,49343,40420,100079,91101,87570,172748,83135,179153,126537,143545.2994,143545.2994,143545.2994,24000,23587,24475,24188,25349,25891,27264,28243,25938,26317,26696,27075,27454,27833,total,3.788666667,4.812184678,2.016057201,1.671076567,3.948045288,3.518635819,3.211927817,6.116489042,3.205143033,6.807500855,4.739923584,5.301765444,5.228575049,5.157377911,0.344661963,0.362196094,0.334960905,0.346403947,0.353578901,0.340315763,0.337304956,0.337891461,0.34950679,0.346809454,0.344137931,0.341542852,0.33898149,0.336492891
MI,Saginaw County,90928,113505,49343,40420,100079,91101,87570,172748,83135,179153,126537,143545.2994,143545.2994,143545.2994,30189,30108,30311,30603,31546,32176,34159,35029,31224,31562,31900,32239,32577,32916,male,3.011957998,3.769928258,1.627890865,1.320785544,3.172478286,2.831333913,2.563599637,4.931570984,2.662535229,5.676224574,3.966677116,4.45253573,4.40633881,4.360958178,0.344661963,0.362196094,0.334960905,0.346403947,0.353578901,0.340315763,0.337304956,0.337891461,0.34950679,0.346809454,0.344137931,0.341542852,0.33898149,0.336492891
MI,Saginaw County,90928,113505,49343,40420,100079,91101,87570,172748,83135,179153,126537,143545.2994,143545.2994,143545.2994,19784,19203,20158,20002,20392,21226,22637,23193,20311,20616,20922,21228,21534,21840,female,4.596037202,5.910795188,2.447812283,2.02079792,4.907757944,4.291953265,3.868445465,7.448281809,4.09310226,8.68999806,6.048035561,6.762073648,6.665983997,6.572586969,0.344661963,0.362196094,0.334960905,0.346403947,0.353578901,0.340315763,0.337304956,0.337891461,0.34950679,0.346809454,0.344137931,0.341542852,0.33898149,0.336492891
IN,Miami County,52310,52310,52310,52310,52310,52310,52310,52310,65827,135293,140833,118634.8345,118627.7545,118627.7178,22402,24978,25530,26411,26961,27588,29310,30500,33796,34847,35898,36949,38001,39052,total,2.33505937,2.094242934,2.048962005,1.980614138,1.940209933,1.896114253,1.784715114,1.715081967,1.947774885,3.882486297,3.923143351,3.210772538,3.121700863,3.037686106,0.423462834,0.395507715,0.33868011,0.366085976,0.414590694,0.417604593,0.413576384,0.411871929,0.416146298,0.418425842,0.420559098,0.422589213,0.42448334,0.426293208
IN,Miami County,52310,52310,52310,52310,52310,52310,52310,52310,65827,135293,140833,118634.8345,118627.7545,118627.7178,28803,30007,30548,31916,33679,35184,36755,37854,42598,43960,45323,46686,48049,49412,male,1.816130264,1.743259906,1.712387063,1.638989848,1.553193385,1.486755343,1.423207727,1.381888308,1.545307291,3.077638763,3.10731858,2.541122274,2.468891226,2.400787618,0.423462834,0.395507715,0.33868011,0.366085976,0.414590694,0.417604593,0.413576384,0.411871929,0.416146298,0.418425842,0.420559098,0.422589213,0.42448334,0.426293208
IN,Miami County,52310,52310,52310,52310,52310,52310,52310,52310,65827,135293,140833,118634.8345,118627.7545,118627.7178,16606,18139,20202,20232,19716,20491,21554,22263,24871,25566,26262,26957,27653,28348,female,3.150066241,2.883841447,2.589347589,2.585508106,2.653175086,2.552828071,2.426927716,2.349638414,2.646737164,5.291911132,5.362615185,4.400891587,4.289869255,4.184694433,0.423462834,0.395507715,0.33868011,0.366085976,0.414590694,0.417604593,0.413576384,0.411871929,0.416146298,0.418425842,0.420559098,0.422589213,0.42448334,0.426293208
MI,Shiawassee County,84175,91451,105317,100908,203109,142470,150109,171191,215496,177945,140475,172046.6508,172046.6508,172046.6508,27165,26853,27252,28070,28759,30155,31477,32114,26781,27198,27615,28032,28449,28866,total,3.098656359,3.40561576,3.864560399,3.594869968,7.062450016,4.72458962,4.768847095,5.330728031,8.046600202,6.54257666,5.086909288,6.137508947,6.047546515,5.960183288,0.346184914,0.326248904,0.359647009,0.352693628,0.342400424,0.347018982,0.367513589,0.34827799,0.410220641,0.410681863,0.411114767,0.411516098,0.411918674,0.412317843
MI,Shiawassee County,84175,91451,105317,100908,203109,142470,150109,171191,215496,177945,140475,172046.6508,172046.6508,172046.6508,32188,31948,33202,33505,33969,35877,39555,40505,35125,35799,36474,37148,37823,38497,male,2.615105008,2.862495305,3.17200771,3.011729593,5.979245783,3.971067815,3.794943749,4.226416492,6.135117438,4.970669572,3.851373581,4.631383945,4.548730952,4.469092418,0.346184914,0.326248904,0.359647009,0.352693628,0.342400424,0.347018982,0.367513589,0.34827799,0.410220641,0.410681863,0.411114767,0.411516098,0.411918674,0.412317843
MI,Shiawassee County,84175,91451,105317,100908,203109,142470,150109,171191,215496,177945,140475,172046.6508,172046.6508,172046.6508,21045,21525,21261,21688,22338,23427,25018,26398,20716,21097,21479,21861,22243,22624,female,3.999762414,4.248594657,4.953529937,4.652711177,9.092532904,6.081444487,6.000039971,6.484998864,10.40239428,8.434611556,6.540108944,7.870026568,7.734867185,7.604607974,0.346184914,0.326248904,0.359647009,0.352693628,0.342400424,0.347018982,0.367513589,0.34827799,0.410220641,0.410681863,0.411114767,0.411516098,0.411918674,0.412317843
FL,Okaloosa County,154700,275123,159717,230310,186943,185818,289289,224287,266677,335909,332880,392299.7825,409533.2896,435350.8537,27421,27814,28139,29103,29942,30594,31230,31759,35889,36624,37359,38094,38829,39564,total,5.6416615,9.891529446,5.676001279,7.913617153,6.243504108,6.073674577,9.263176433,7.062155609,7.430605478,9.171827217,8.910302738,10.29820398,10.54709855,11.0037118,0.313209967,0.309127752,0.317687397,0.325346638,0.325049815,0.30557573,0.292593904,0.298983804,0.370819723,0.371066853,0.371318028,0.371559825,0.37179276,0.37201731
